CollarID	Latitude	Longitude
15438	-19.7451004	22.4160156
15438	-19.7450971	22.4159907
15438	-19.7450971	22.4159907
15438	-19.7450948	22.4160084
15438	-19.7450925	22.4160042
15438	-19.7450925	22.4160042
15438	-19.7450925	22.416026
15438	-19.7450915	22.4159835
15438	-19.7450915	22.4159835
15438	-19.7450915	22.4159835
15438	-19.7450869	22.4159969
15438	-19.7450835	22.4159938
15438	-19.7450822	22.416054
15438	-19.7450768	22.4159658
15438	-19.7450745	22.4159835
15438	-19.7450745	22.4159835
15438	-19.7450745	22.4159835
15438	-19.7450744	22.4160053
15438	-19.7450698	22.4160187
15438	-19.7450675	22.4160364
15438	-19.7450664	22.4160156
15438	-19.7450642	22.4160115
15438	-19.7450621	22.4159482
15438	-19.7450619	22.4160073
15438	-19.7450449	22.4160291
15438	-19.7449254	22.4161473
15438	-19.7449119	22.4157842
15438	-19.7446708	22.411712
15438	-19.7444827	22.4110489
15438	-19.7444714	22.4110344
15438	-19.7443265	22.4123243
15438	-19.7442906	22.4098648
15438	-19.7442578	22.4111858
15438	-19.7441508	22.4109949
15438	-19.7438655	22.4082293
15438	-19.743856	22.4026298
15438	-19.7438406	22.3794149
15438	-19.7437812	22.4129987
15438	-19.7436262	22.402554
15438	-19.7436014	22.4025053
15438	-19.7435956	22.4025571
15438	-19.7435942	22.403297
15438	-19.7435885	22.4033115
15438	-19.7435784	22.4032804
15438	-19.7435772	22.403297
15438	-19.7435715	22.4033115
15438	-19.7435682	22.4032866
15438	-19.7435625	22.4033011
15438	-19.7435568	22.4032939
15438	-19.7435523	22.4033073
15438	-19.7435043	22.4127641
15438	-19.7434969	22.4079449
15438	-19.7434879	22.4079345
15438	-19.7434776	22.4079625
15438	-19.7434776	22.4079625
15438	-19.743472	22.4079553
15438	-19.743472	22.4079553
15438	-19.743456	22.4026131
15438	-19.7433804	22.4078682
15438	-19.7433759	22.4078598
15438	-19.7433718	22.4087418
15438	-19.7433692	22.4078318
15438	-19.7433669	22.4078494
15438	-19.7433669	22.4078494
15438	-19.7433669	22.4078494
15438	-19.7433623	22.4078847
15438	-19.7433613	22.4078422
15438	-19.7433589	22.4078598
15438	-19.7433589	22.4078598
15438	-19.7433589	22.4078598
15438	-19.7433533	22.4078525
15438	-19.74335	22.4078276
15438	-19.7433499	22.4078494
15438	-19.7433487	22.407866
15438	-19.7433477	22.4078452
15438	-19.7433477	22.4078452
15438	-19.7433453	22.4078629
15438	-19.743342	22.407838
15438	-19.7433307	22.4078452
15438	-19.7433306	22.4078671
15438	-19.74331	22.4079231
15438	-19.7432987	22.4079085
15438	-19.743293	22.4079231
15438	-19.7431897	22.4005532
15438	-19.7431875	22.400549
15438	-19.743176	22.4005781
15438	-19.7431431	22.4005925
15438	-19.7431311	22.4004608
15438	-19.7431126	22.4005583
15438	-19.7430925	22.4004743
15438	-19.7430701	22.4004079
15438	-19.7430698	22.4004888
15438	-19.7430622	22.4003965
15438	-19.7430491	22.4002377
15438	-19.7430025	22.4002834
15438	-19.7429472	22.4025684
15438	-19.7429366	22.4077331
15438	-19.7429359	22.4025539
15438	-19.7429198	22.4026182
15438	-19.7427479	22.4001588
15438	-19.7427191	22.4120313
15438	-19.7427077	22.4120604
15438	-19.7426792	22.412105
15438	-19.7426441	22.4120842
15438	-19.7422263	22.408642
15438	-19.7420151	22.4047069
15438	-19.7419707	22.4161093
15438	-19.7419628	22.4084635
15438	-19.7419493	22.4047329
15438	-19.7418143	22.4044247
15438	-19.7417552	22.4028059
15438	-19.7417452	22.4003787
15438	-19.741707	22.406003
15438	-19.7416765	22.404296
15438	-19.7416177	22.4056066
15438	-19.7415151	22.405753
15438	-19.7414108	22.4094606
15438	-19.7413452	22.412416
15438	-19.7413304	22.4037273
15438	-19.7412724	22.4041309
15438	-19.74121	22.4034803
15438	-19.7412027	22.403636
15438	-19.7411038	22.4033692
15438	-19.7410029	22.40339
15438	-19.7408907	22.4026947
15438	-19.7408777	22.4045377
15438	-19.7408608	22.4045159
15438	-19.7408513	22.4036369
15438	-19.7407791	22.407244
15438	-19.7407484	22.4072471
15438	-19.7405619	22.4047701
15438	-19.7403822	22.4022401
15438	-19.7403628	22.4099948
15438	-19.7403479	22.4026718
15438	-19.7403413	22.402622
15438	-19.7402514	22.4104379
15438	-19.7402231	22.402044
15438	-19.7402106	22.4020305
15438	-19.740208	22.4021509
15438	-19.740205	22.4020232
15438	-19.740195	22.4019703
15438	-19.740191	22.4021291
15438	-19.7401877	22.4021041
15438	-19.7401797	22.4021363
15438	-19.7401787	22.4020938
15438	-19.7401728	22.4098672
15438	-19.7401728	22.4021674
15438	-19.7401717	22.4021467
15438	-19.7401604	22.4021322
15438	-19.7401594	22.4021114
15438	-19.7401502	22.4021229
15438	-19.7401412	22.402128
15438	-19.7401388	22.4021674
15438	-19.7401375	22.4021903
15438	-19.7401317	22.4022422
15438	-19.7401175	22.4021
15438	-19.7401113	22.4022391
15438	-19.7400884	22.4103632
15438	-19.74008	22.4024476
15438	-19.7400737	22.4103456
15438	-19.7400674	22.4021425
15438	-19.7400594	22.4021747
15438	-19.7400583	22.402154
15438	-19.740054	22.4020865
15438	-19.740053	22.4020503
15438	-19.7400527	22.4021467
15438	-19.7400525	22.4022058
15438	-19.7400514	22.4021851
15438	-19.7400514	22.4021851
15438	-19.7400481	22.4021602
15438	-19.7400457	22.4021996
15438	-19.7400457	22.4021996
15438	-19.7400434	22.4022172
15438	-19.7400413	22.402154
15438	-19.7400368	22.4021519
15438	-19.7400359	22.4020876
15438	-19.7400344	22.4048883
15438	-19.7400344	22.4021851
15438	-19.7400275	22.402238
15438	-19.7400267	22.4048177
15438	-19.7400264	22.4022327
15438	-19.7400257	22.4020938
15438	-19.7400207	22.40221
15438	-19.74002	22.4020865
15438	-19.7400199	22.4021083
15438	-19.7400185	22.4065818
15438	-19.7400154	22.4021218
15438	-19.7400144	22.4020792
15438	-19.7400121	22.4020751
15438	-19.740011	22.4020761
15438	-19.7400097	22.4021145
15438	-19.7400096	22.4021363
15438	-19.7400087	22.402072
15438	-19.7400074	22.4024829
15438	-19.7400065	22.4020678
15438	-19.7400031	22.4020647
15438	-19.740003	22.4020865
15438	-19.7400008	22.4020823
15438	-19.7400008	22.4020823
15438	-19.7400007	22.4021041
15438	-19.7399997	22.4020616
15438	-19.7399981	22.4022027
15438	-19.7399975	22.4020574
15438	-19.7399963	22.4020585
15438	-19.7399947	22.4049028
15438	-19.7399861	22.4020647
15438	-19.7399848	22.4021031
15438	-19.7399845	22.4065818
15438	-19.7399827	22.4020616
15438	-19.7399825	22.4021207
15438	-19.7399822	22.4065994
15438	-19.7399738	22.4023675
15438	-19.7399737	22.4020294
15438	-19.7399724	22.4020896
